2019-12-27 14:07:21.028 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-27 14:07:21.028 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-27 14:28:53.883 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-27 14:28:53.883 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-27 23:18:28.383 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-27 23:18:28.384 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-28 08:27:33.658 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-28 08:27:33.658 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-28 08:29:30.244 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-28 08:29:30.244 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-28 09:01:59.259 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-28 09:01:59.259 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-28 09:06:13.481 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-28 09:06:13.481 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-28 11:25:12.384 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-28 11:25:12.384 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-28 16:43:55.660 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-28 16:43:55.660 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-29 08:59:12.179 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-29 08:59:12.179 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-29 09:01:33.705 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-29 09:01:33.705 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-29 09:03:12.829 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-29 09:03:12.829 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-29 09:10:36.644 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-29 09:10:36.644 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-30 07:59:59.863 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-30 07:59:59.863 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-30 09:40:27.173 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-30 09:40:27.173 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-30 09:43:54.934 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-30 09:43:54.934 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-30 10:14:49.181 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-30 10:14:49.182 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-30 10:29:31.607 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-30 10:29:31.607 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-30 10:33:10.458 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-30 10:33:10.458 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-30 10:34:50.175 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-30 10:34:50.175 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2020-01-01 09:15:17.609 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2020-01-01 09:15:17.609 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2020-01-02 10:10:36.139 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2020-01-02 10:10:36.139 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
